DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
G11P;15/10/2016;09:30;Nielse SV B;FC Blaasveld B;;;AMC;7;09546;07325
G11P;15/10/2016;10:00;VK Heindonk ;Willebroekse SV ;;;;7;05906;09574
G11P;15/10/2016;10:00;Heffen SK B;KFC Volh. Wintam ;;;AMC;7;03738;03911
G11P;15/10/2016;11:30;K. Puurs Exc. RSK ;K. Schelle Sp. B;;;AMC;7;03855;04926
G11P;22/10/2016;10:00;VK Heindonk ;KFC Volh. Wintam ;;;AMC;8;05906;03911
G11P;22/10/2016;10:00;Heffen SK B;K. Schelle Sp. B;;;AMC;8;03738;04926
G11P;22/10/2016;11:00;Willebroekse SV ;FC Blaasveld B;;;AMC;8;09574;07325
G11P;22/10/2016;11:30;K. Puurs Exc. RSK ;Nielse SV B;;;AMC;8;03855;09546
G11P;05/11/2016;10:00;Heffen SK B;Nielse SV B;;;;2;03738;09546
G11P;05/11/2016;11:00;KFC Volh. Wintam ;Willebroekse SV ;;;AMC;9;03911;09574
G11P;05/11/2016;11:15;FC Blaasveld B;K. Puurs Exc. RSK ;;;AMC;9;07325;03855
G11P;05/11/2016;14:45;K. Schelle Sp. B;VK Heindonk ;;;AMC;9;04926;05906
G11P;12/11/2016;10:00;Heffen SK B;K. Puurs Exc. RSK ;;;AMC;10;03738;03855
G11P;12/11/2016;10:00;VK Heindonk ;Nielse SV B;;;;10;05906;09546
G11P;12/11/2016;11:00;KFC Volh. Wintam ;FC Blaasveld B;;;AMC;10;03911;07325
G11P;12/11/2016;11:00;Willebroekse SV ;K. Schelle Sp. B;;;AMC;10;09574;04926
G11P;19/11/2016;09:30;Nielse SV B;Willebroekse SV ;;;PP;11;09546;09574
G11P;19/11/2016;11:15;FC Blaasveld B;Heffen SK B;;;AMC;11;07325;03738
G11P;19/11/2016;11:30;K. Puurs Exc. RSK ;VK Heindonk ;;;AMC;11;03855;05906
G11P;19/11/2016;14:45;K. Schelle Sp. B;KFC Volh. Wintam ;;;AMC;11;04926;03911
G11P;26/11/2016;10:00;VK Heindonk ;Heffen SK B;;;;12;05906;03738
G11P;26/11/2016;11:00;Willebroekse SV ;K. Puurs Exc. RSK ;;;AMC;12;09574;03855
G11P;26/11/2016;11:00;KFC Volh. Wintam ;Nielse SV B;;;AMC;12;03911;09546
G11P;26/11/2016;14:45;K. Schelle Sp. B;FC Blaasveld B;;;AMC;12;04926;07325
G11P;03/12/2016;09:30;Nielse SV B;K. Schelle Sp. B;;;AMC;13;09546;04926
G11P;03/12/2016;10:00;Heffen SK B;Willebroekse SV ;;;;13;03738;09574
G11P;03/12/2016;10:00;VK Heindonk ;FC Blaasveld B;;;AMC;13;05906;07325
G11P;03/12/2016;11:30;K. Puurs Exc. RSK ;KFC Volh. Wintam ;;;AMC;13;03855;03911
G11P;10/12/2016;11:00;KFC Volh. Wintam ;Heffen SK B;;;AMC;14;03911;03738
G11P;10/12/2016;11:00;Willebroekse SV ;VK Heindonk ;;;;14;09574;05906
