DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
U8I;26/11/2016;11:00;WS Schoonbeek-Beverst B;Herk Sport ;;;;13;02727;05905
U8I;26/11/2016;11:00;V. 's Herenelderen A;HIH Hoepertingen ;;;;13;01669;02399
U8I;26/11/2016;15:30;RDK Gravelo ;K.M.R. Biesen B;;;;13;06711;04548
U8I;03/12/2016;10:00;K.M.R. Biesen B;Sp. Kolmont A;;;;14;04548;05120
U8I;03/12/2016;10:30;HIH Hoepertingen ;WS Schoonbeek-Beverst B;;;;14;02399;02727
U8I;03/12/2016;12:30;SK Tongeren C;V. 's Herenelderen A;;;;14;00054;01669
U8I;04/12/2016;10:00;Herk Sport ;RDK Gravelo ;;;;14;05905;06711
U8J;03/09/2016;10:00;Kadijk SK B;H. Wijshagen A;;;;1;09174;06894
U8J;03/09/2016;14:00;Peer SV ;Sp.Wijchmaal A;;;;8;03888;06812
U8J;04/09/2016;10:00;Hechtel FC B;Lommel United D;;;;1;02662;02554
U8J;04/09/2016;10:00;SK Bree A;KFC Helson Helchteren C;;;;1;02583;06045
U8J;10/09/2016;09:30;Lommel United D;Sp.Wijchmaal A;;;;2;02554;06812
U8J;10/09/2016;10:00;KFC Helson Helchteren C;Kadijk SK B;;;;2;06045;09174
U8J;10/09/2016;14:00;Peer SV ;SK Bree A;;;;2;03888;02583
U8J;11/09/2016;10:00;H. Wijshagen A;Hechtel FC B;;;;2;06894;02662
U8J;17/09/2016;14:00;Peer SV ;Kadijk SK B;;;;10;03888;09174
U8J;18/09/2016;10:00;Hechtel FC B;Sp.Wijchmaal A;;;;3;02662;06812
U8J;18/09/2016;10:00;H. Wijshagen A;KFC Helson Helchteren C;;;;3;06894;06045
U8J;23/09/2016;17:30;SK Bree A;Lommel United D;;;;3;02583;02554
U8J;24/09/2016;10:00;KFC Helson Helchteren C;Hechtel FC B;;;;4;06045;02662
U8J;24/09/2016;12:30;Sp.Wijchmaal A;SK Bree A;;;;4;06812;02583
U8J;24/09/2016;14:00;H. Wijshagen A;Peer SV ;;;;11;06894;03888
U8J;25/09/2016;10:00;Lommel United D;Kadijk SK B;;;;4;02554;09174
U8J;01/10/2016;10:00;KFC Helson Helchteren C;Peer SV ;;;PP;5;06045;03888
U8J;01/10/2016;10:00;Kadijk SK B;Sp.Wijchmaal A;;;PP;5;09174;06812
U8J;02/10/2016;10:00;H. Wijshagen A;Lommel United D;;;PP;5;06894;02554
U8J;02/10/2016;10:00;Hechtel FC B;SK Bree A;;;PP;5;02662;02583
U8J;08/10/2016;12:30;Sp.Wijchmaal A;H. Wijshagen A;;;;6;06812;06894
